"product_id","product_name","category","description"
"P001","Basic T-Shirt","Apparel","Comfortable cotton t-shirt suitable for daily wear."
"P002","Casual Pants","Apparel","Everyday pants for casual or work use."
"P003","Running Shoes","Footwear","Lightweight shoes suitable for running or walking."
"P004","Everyday Sneakers","Footwear","Casual sneakers for daily activities and light sports."
"P005","Mobile Device","Electronics","Generic smartphone or mobile device for communication and apps."
"P006","Laptop","Electronics","Standard laptop suitable for work, browsing, and study."
"P007","Headphones","Electronics","Over-ear or in-ear headphones for listening to audio."
"P008","Wireless Mouse","Electronics","Standard wireless computer mouse for work or gaming."
"P009","Smartwatch","Electronics","Generic smartwatch for tracking activity and notifications."
"P010","Basic Backpack","Accessories","Everyday backpack for travel, school, or work."
"P011","Casual Handbag","Accessories","Generic handbag suitable for daily use."
"P012","Wallet","Accessories","Everyday wallet for carrying cards and cash."
"P013","Coffee Beans","Groceries","Generic coffee beans for brewing fresh coffee."
"P014","Tea Leaves","Groceries","Loose leaf tea suitable for daily consumption."
"P015","Protein Powder","Groceries","Powdered protein supplement for nutrition and fitness."
"P016","Kitchen Scale","Home & Living","Standard kitchen scale for measuring ingredients."
"P017","LED Desk Lamp","Home & Living","Adjustable LED lamp for desk or study use."
"P018","Bath Towel Set","Home & Living","Set of towels suitable for daily use at home."
"P019","Office Chair","Furniture","Comfortable office chair for desk work."
"P020","Standing Desk","Furniture","Adjustable desk for sitting or standing while working."
"P021","Sports Equipment","Sports","Generic sports gear for different activities."
"P022","Yoga Mat","Sports","Standard yoga mat suitable for exercise and stretches."
"P023","Water Bottle","Sports","Reusable bottle for hydration during activities."
"P024","Sunglasses","Accessories","Generic sunglasses for eye protection outdoors."
"P025","Casual Jacket","Apparel","Lightweight jacket suitable for daily wear."
